Etat,Milieage,Carburant,CarVendeur,Portes,seats,CarNameV2,Modele,Price,etatCategory,Month,Year,Puissance,TransmissionV2,Cylindrée,Vitesses,Cylindres,HorsePower,ClasseEmission,Typedecarburant,Consommationdecarburant,ÉmissionsdeCO2
Très bon prix,98650,Essence,Professionnel,5.0,5.0,SEAT,Leon,124955,3,1.0,2021.0,85.0,Boîte manuelle,999.0,8.0,1242.0,116.0,Euro 6d,Essence,4.8,107.0
Très bon prix,169000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,103505,3,8.0,2016.0,135.0,Boîte automatique,1968.0,1.0,1390.0,184.0,,Diesel,4.6,
Bon prix,159000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,44905,2,3.0,2015.0,44.0,Boîte manuelle,1198.0,4.0,1110.0,60.0,Euro 5,Essence,5.5,128.0
Bon prix,49900,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,109905,2,2.0,2019.0,59.0,Boîte manuelle,999.0,5.0,1099.0,80.0,Euro 6d,,4.7,108.0
Bon prix,79651,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,10500,2,9.0,2018.0,70.0,Boîte manuelle,999.0,7.0,1128.0,95.0,,Essence,4.7,107.0
Prix correct,155000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,5200,1,1.0,2015.0,44.0,Boîte manuelle,1198.0,4.0,1049.0,60.0,,Essence,5.4,125.0
Bon prix,93000,Essence,Particuliers,5.0,5.0,SEAT,Arona,12900,2,9.0,2020.0,85.0,Boîte manuelle,999.0,8.0,1189.0,116.0,Euro 6d,Essence,4.9,
Bon prix,34000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,139505,2,5.0,2021.0,81.0,Boîte manuelle,999.0,8.0,1163.0,110.0,Euro 6d,,4.8,105.0
Bon prix,95000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,5000,2,1.0,2012.0,51.0,Boîte manuelle,1198.0,5.0,1049.0,69.0,,Essence,5.4,125.0
Bon prix,84000,Essence,Particuliers,5.0,5.0,SEAT,Leon,12000,2,5.0,2015.0,110.0,Boîte manuelle,1395.0,1.0,1231.0,150.0,,Essence,4.9,114.0
Bon prix,90000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,15500,2,5.0,2020.0,85.0,Boîte automatique,999.0,8.0,1172.0,116.0,Euro 6d,,4.8,109.0
Prix correct,160000,Essence,Professionnel,5.0,3.0,SEAT,Ibiza,29905,1,1.0,2006.0,47.0,Boîte manuelle,1198.0,4.0,1015.0,64.0,Euro 4,Essence,6.0,142.0
Très bon prix,157000,Essence,Professionnel,5.0,3.0,SEAT,Ibiza,18905,3,5.0,2007.0,51.0,Boîte manuelle,1198.0,5.0,1027.0,69.0,Euro 4,Essence,5.9,139.0
Bon prix,94820,Essence,Professionnel,5.0,5.0,SEAT,Arona,137995,2,5.0,2022.0,70.0,Boîte manuelle,999.0,7.0,,95.0,Euro 6d,Essence,4.9,123.0
Pas d'information,270000,Diesel,Professionnel,7.0,5.0,SEAT,Alhambra,88505,0,6.0,2014.0,130.0,Boîte automatique,1968.0,1.0,1803.0,177.0,Euro 5,Diesel,5.8,152.0
Très bon prix,53000,Essence,Particuliers,5.0,5.0,SEAT,Arona,14200,3,5.0,2022.0,81.0,Boîte manuelle,999.0,8.0,1193.0,110.0,,Essence,,
Prix correct,31000,Essence,Professionnel,5.0,5.0,SEAT,Leon,107505,1,1.0,2014.0,76.0,Boîte manuelle,1197.0,7.0,1254.0,103.0,Euro 5,Essence,4.9,114.0
Bon prix,28240,Essence,Professionnel,5.0,5.0,SEAT,Arona,134905,2,5.0,2019.0,70.0,Boîte manuelle,999.0,7.0,1165.0,95.0,Euro 6d,Essence,5.0,
Prix correct,89000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,129505,1,5.0,2018.0,85.0,Boîte manuelle,999.0,8.0,1140.0,116.0,Euro 6b,Essence,4.7,108.0
Bon prix,245000,Diesel,Professionnel,5.0,3.0,SEAT,Ibiza,28505,2,8.0,2011.0,55.0,Boîte manuelle,1199.0,5.0,1150.0,75.0,Euro 5,Diesel,3.4,89.0
Bon prix,135000,Essence,Particuliers,5.0,5.0,SEAT,Leon,8100,2,1.0,2018.0,63.0,Boîte manuelle,1197.0,6.0,1188.0,86.0,Euro 6c,Essence,5.1,119.0
Très bon prix,70000,Essence,Professionnel,4.0,5.0,SEAT,Mii,49505,3,12.0,2013.0,44.0,Boîte manuelle,1000.0,4.0,,60.0,Euro 5,Essence,,1.0
Bon prix,230000,Diesel,Particuliers,5.0,5.0,SEAT,Ibiza,2500,2,11.0,2012.0,47.0,Boîte manuelle,1896.0,4.0,1125.0,64.0,,Diesel,4.7,
Très bon prix,138000,Essence,Particuliers,5.0,5.0,SEAT,Alhambra,3200,3,3.0,2009.0,63.0,Boîte manuelle,1984.0,6.0,1653.0,86.0,,Essence,9.4,226.0
Prix correct,167959,Diesel,Professionnel,5.0,5.0,SEAT,Leon,69005,1,10.0,2014.0,81.0,Boîte manuelle,1598.0,8.0,1280.0,110.0,Euro 5,Diesel,3.6,94.0
Bon prix,135000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,49905,2,12.0,2012.0,77.0,Boîte manuelle,1598.0,7.0,1365.0,105.0,,Diesel,4.5,
Prix correct,190000,Diesel,Professionnel,5.0,3.0,SEAT,Leon,60005,1,1.0,2014.0,77.0,Boîte manuelle,1598.0,7.0,1266.0,105.0,,Diesel,3.8,
Prix correct,112370,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,81905,1,10.0,2017.0,55.0,Boîte manuelle,999.0,5.0,1091.0,75.0,Euro 6b,Essence,4.9,112.0
Bon prix,57000,Essence,Professionnel,7.0,5.0,SEAT,Tarraco,229995,2,12.0,2019.0,110.0,Boîte manuelle,1498.0,1.0,1576.0,150.0,Euro 6d,Essence,5.7,134.0
Prix correct,162000,Diesel,Professionnel,5.0,3.0,SEAT,Ibiza,43505,1,1.0,2014.0,55.0,Boîte manuelle,1199.0,5.0,1135.0,75.0,Euro 5,Diesel,3.8,
Bon prix,148000,Diesel,Particuliers,5.0,5.0,SEAT,Ateca,14950,2,9.0,2019.0,85.0,Boîte manuelle,1598.0,8.0,1428.0,116.0,,Diesel,,
Prix correct,192000,Diesel,Professionnel,5.0,5.0,SEAT,Ibiza,47505,1,2.0,2016.0,66.0,Boîte manuelle,1422.0,6.0,1205.0,90.0,Euro 6,Diesel,3.8,
Prix correct,170000,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,7000,1,2.0,2017.0,66.0,Boîte manuelle,1197.0,6.0,1089.0,90.0,,Essence,4.9,116.0
Bon prix,43459,Essence,Professionnel,5.0,5.0,SEAT,Ateca,219505,2,1.0,2020.0,110.0,Boîte automatique,1498.0,1.0,1370.0,150.0,Euro 6d,,5.3,121.0
Prix correct,170000,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,7000,1,2.0,2017.0,66.0,Boîte manuelle,1197.0,6.0,1089.0,90.0,,Essence,4.9,116.0
Prix correct,238000,Diesel,Particuliers,5.0,5.0,SEAT,Leon,3900,1,5.0,2011.0,77.0,Boîte manuelle,1598.0,7.0,1325.0,105.0,Euro 5,Diesel,3.8,
Bon prix,86150,Essence,Particuliers,5.0,5.0,SEAT,Leon,11999,2,4.0,2016.0,81.0,Boîte automatique,1197.0,8.0,1275.0,110.0,Euro 6b,Essence,4.9,
Bon prix,26862,CNG,Professionnel,5.0,5.0,SEAT,Arona,129905,2,2.0,2020.0,66.0,Boîte manuelle,999.0,6.0,1305.0,90.0,Euro 6d,,5.2,93.0
Prix correct,184000,Essence,Particuliers,5.0,5.0,SEAT,Leon,5500,1,4.0,2001.0,150.0,Boîte manuelle,2799.0,1.0,,204.0,,Essence,,
Pas d'information,140300,Essence,Particuliers,5.0,5.0,SEAT,Altea XL,6500,0,10.0,2014.0,92.0,Boîte manuelle,1390.0,9.0,1478.0,125.0,,Essence,6.5,152.0
Très bon prix,82923,Essence,Professionnel,5.0,5.0,SEAT,Ateca,164905,3,3.0,2019.0,110.0,Boîte manuelle,1498.0,1.0,,150.0,Euro 6,Essence,,154.0
Très bon prix,100150,Diesel,Particuliers,7.0,5.0,SEAT,Tarraco,20500,3,1.0,2020.0,110.0,Boîte manuelle,1968.0,1.0,1695.0,150.0,,Diesel,,
Prix correct,156679,Essence,Professionnel,5.0,3.0,SEAT,Ibiza,58905,1,2.0,2016.0,55.0,Boîte manuelle,999.0,5.0,1043.0,75.0,Euro 6b,Essence,4.8,108.0
Bon prix,73000,Essence,Professionnel,5.0,5.0,SEAT,Leon,134905,2,4.0,2019.0,96.0,Boîte manuelle,1498.0,9.0,1279.0,131.0,Euro 6d,Essence,4.9,112.0
Très bon prix,14500,Essence,Professionnel,5.0,5.0,SEAT,Arona,1875015,3,4.0,2023.0,81.0,Boîte automatique,999.0,8.0,1210.0,110.0,Euro 6d,Essence,,139.0
Bon prix,121580,Diesel,Professionnel,5.0,5.0,SEAT,Ibiza,59905,2,12.0,2014.0,55.0,Boîte manuelle,1199.0,5.0,1205.0,75.0,Euro 5,Diesel,3.4,89.0
Très bon prix,24861,Essence,Professionnel,5.0,5.0,SEAT,Ateca,2299515,3,2.0,2023.0,111.0,Boîte manuelle,1498.0,1.0,,151.0,Euro 6,Essence,,142.0
Très bon prix,8500,Essence,Professionnel,5.0,5.0,SEAT,Arona,1749015,3,4.0,2024.0,70.0,Boîte manuelle,999.0,7.0,,95.0,Euro 6d,Essence,4.8,110.0
Prix correct,153000,Diesel,Particuliers,5.0,5.0,SEAT,Ibiza,3600,1,1.0,2012.0,55.0,Boîte manuelle,1199.0,5.0,1205.0,75.0,,Diesel,3.4,
Très bon prix,83000,Essence,Particuliers,5.0,5.0,SEAT,Leon,30000,3,5.0,2018.0,460.0,Boîte automatique,1984.0,4.0,1545.0,625.0,,Essence,7.2,
Prix correct,119609,Essence,Professionnel,5.0,5.0,SEAT,Leon,99995,1,5.0,2016.0,81.0,Boîte manuelle,1197.0,8.0,1209.0,110.0,Euro 6b,Essence,4.9,114.0
Pas d'information,163000,Essence,Particuliers,5.0,5.0,SEAT,Toledo,5500,0,7.0,2015.0,63.0,Boîte manuelle,1197.0,6.0,1155.0,86.0,,Essence,5.1,
Prix correct,146000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,119905,1,3.0,2019.0,85.0,Boîte automatique,1598.0,8.0,1339.0,116.0,Euro 6d,Diesel,4.2,
Bon prix,159000,Essence,Professionnel,4.0,5.0,SEAT,Mii,34995,2,6.0,2012.0,44.0,Boîte manuelle,999.0,4.0,3922.0,60.0,Euro 6b,,4.5,105.0
Prix correct,146000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,119905,1,3.0,2019.0,85.0,Boîte automatique,1598.0,8.0,1339.0,116.0,Euro 6d,Diesel,4.2,
Bon prix,158000,Diesel,Professionnel,5.0,5.0,SEAT,Ibiza,94505,2,5.0,2018.0,70.0,Boîte manuelle,1598.0,7.0,1253.0,95.0,Euro 6c,Diesel,3.8,99.0
Prix correct,38300,Essence,Particuliers,5.0,5.0,SEAT,Leon,16700,1,8.0,2019.0,96.0,Boîte manuelle,1498.0,9.0,1239.0,131.0,Euro 6d,Essence,5.0,
Prix correct,162000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,1850,1,8.0,2004.0,55.0,Boîte manuelle,1390.0,5.0,1057.0,75.0,,Essence,6.4,
Pas d'information,92000,Essence,Professionnel,5.0,5.0,SEAT,Ateca,159905,0,11.0,2016.0,85.0,Boîte manuelle,999.0,8.0,1280.0,116.0,Euro 6b,Essence,5.2,119.0
Prix correct,71000,Diesel,Professionnel,5.0,5.0,SEAT,Ibiza,1095015,1,6.0,2018.0,59.0,Boîte manuelle,1598.0,5.0,1256.0,80.0,Euro 6c,Diesel,3.8,99.0
Pas d'information,94000,Diesel,Professionnel,5.0,5.0,SEAT,Exeo,74905,0,2.0,2012.0,88.0,Boîte manuelle,1968.0,8.0,1565.0,120.0,Euro 5,Diesel,5.0,139.0
Bon prix,90000,Diesel,Professionnel,5.0,5.0,SEAT,Ateca,159505,2,3.0,2018.0,85.0,Boîte manuelle,1598.0,8.0,1375.0,116.0,Euro 6b,Diesel,4.5,119.0
Pas d'information,185000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,49995,0,2.0,2016.0,51.0,Boîte manuelle,1198.0,5.0,1049.0,69.0,,Essence,5.4,
Prix correct,239000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,24905,1,5.0,2005.0,81.0,Boîte manuelle,1896.0,8.0,1239.0,110.0,Euro 3,Diesel,5.2,140.0
Bon prix,110000,Essence,Professionnel,4.0,5.0,SEAT,Mii,54905,2,8.0,2013.0,44.0,Boîte automatique,999.0,4.0,3940.0,60.0,Euro 5,Essence,4.4,103.0
Prix correct,175000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,89905,1,6.0,2018.0,85.0,Boîte manuelle,999.0,8.0,1149.0,116.0,Euro 6d,Essence,4.6,108.0
Très bon prix,5000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,169005,3,4.0,2021.0,81.0,Boîte manuelle,999.0,8.0,1148.0,110.0,Euro 6d,,4.6,105.0
Très bon prix,164000,Diesel,Particuliers,5.0,5.0,SEAT,Arona,10800,3,5.0,2018.0,85.0,Boîte manuelle,1598.0,8.0,1303.0,116.0,Euro 6,Diesel,4.3,
Bon prix,27000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,169005,2,7.0,2023.0,70.0,Boîte manuelle,999.0,7.0,1144.0,95.0,Euro 6,Essence,4.9,104.0
Bon prix,65412,Diesel,Professionnel,5.0,5.0,SEAT,Arona,133995,2,11.0,2018.0,70.0,Boîte manuelle,1598.0,7.0,,95.0,Euro 6c,Diesel,4.3,105.0
Prix correct,133000,Essence,Professionnel,5.0,3.0,SEAT,Leon,109905,1,8.0,2016.0,92.0,Boîte manuelle,1395.0,9.0,1213.0,125.0,Euro 6b,Essence,5.2,
Pas d'information,152000,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,3000,0,11.0,2007.0,52.0,Boîte manuelle,1198.0,5.0,1027.0,71.0,,Essence,5.9,
Très bon prix,166000,Diesel,Particuliers,5.0,5.0,SEAT,Leon,11000,3,7.0,2016.0,135.0,Boîte automatique,1968.0,1.0,1435.0,184.0,,Diesel,4.8,
Bon prix,38354,Essence,Professionnel,5.0,5.0,SEAT,Arona,1699015,2,10.0,2021.0,81.0,Boîte automatique,999.0,8.0,,110.0,Euro 6d,Essence,,139.0
Bon prix,56000,Essence,Particuliers,5.0,5.0,SEAT,Ateca,23500,2,8.0,2020.0,110.0,Boîte automatique,1498.0,1.0,1408.0,150.0,,Essence,,
Pas d'information,43000,Electrique/Essence,Particuliers,5.0,5.0,SEAT,Leon,19750,0,10.0,2022.0,110.0,Boîte automatique,1395.0,1.0,1656.0,150.0,,Électrique,1.6,
Bon prix,74000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,8500,2,7.0,2016.0,81.0,Boîte manuelle,999.0,8.0,1155.0,110.0,Euro 6b,Essence,4.3,99.0
Bon prix,58581,Essence,Professionnel,5.0,5.0,SEAT,Ateca,179905,2,4.0,2018.0,110.0,Boîte automatique,1395.0,1.0,1375.0,150.0,Euro 6b,,5.4,124.0
Prix correct,183950,Diesel,Particuliers,5.0,5.0,SEAT,Ibiza,3550,1,8.0,2012.0,55.0,Boîte manuelle,1199.0,5.0,1205.0,75.0,,Diesel,3.4,
Prix correct,176000,Diesel,Particuliers,5.0,5.0,SEAT,Leon,9350,1,11.0,2014.0,110.0,Boîte manuelle,1968.0,1.0,1350.0,150.0,Euro 5,Diesel,4.1,106.0
Pas d'information,144000,Diesel,Professionnel,5.0,5.0,SEAT,Ibiza,49995,0,7.0,2011.0,66.0,Boîte manuelle,1598.0,6.0,1225.0,90.0,Euro 5,Diesel,4.2,109.0
Très bon prix,60000,Essence,Particuliers,5.0,5.0,SEAT,Ateca,24199,3,2.0,2021.0,110.0,Boîte automatique,1498.0,1.0,1370.0,150.0,Euro 6d,Essence,5.3,121.0
Pas d'information,130000,Diesel,Professionnel,5.0,5.0,SEAT,Ibiza,55005,0,7.0,2014.0,55.0,Boîte manuelle,1199.0,5.0,1190.0,75.0,,Diesel,3.9,
Bon prix,18000,Essence,Professionnel,5.0,5.0,SEAT,Arona,1949015,2,2.0,2023.0,81.0,Boîte automatique,999.0,8.0,1210.0,110.0,Euro 6d,Essence,4.8,109.0
Pas d'information,163000,Essence,Particuliers,5.0,5.0,SEAT,Toledo,5500,0,7.0,2015.0,63.0,Boîte manuelle,1197.0,6.0,1155.0,86.0,Euro 5,Essence,5.1,
Très bon prix,36000,Essence,Particuliers,5.0,5.0,SEAT,Leon,22500,3,1.0,2022.0,110.0,Boîte automatique,1498.0,1.0,1361.0,150.0,,Essence,4.8,110.0
Très bon prix,46223,CNG,Professionnel,5.0,5.0,SEAT,Leon,1499015,3,1.0,2021.0,96.0,Boîte automatique,1498.0,9.0,1411.0,131.0,Euro 6d,,,97.0
Très bon prix,94197,Essence,Professionnel,5.0,5.0,SEAT,Arona,118455,3,4.0,2018.0,85.0,Boîte manuelle,1000.0,8.0,1187.0,116.0,,Essence,,113.0
Pas d'information,88000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,11700,0,12.0,2017.0,70.0,Boîte manuelle,999.0,7.0,1095.0,95.0,Euro 6b,Essence,4.3,101.0
Très bon prix,113000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,129505,3,4.0,2021.0,85.0,Boîte manuelle,1598.0,8.0,1311.0,116.0,Euro 6d,Diesel,4.2,100.0
Pas d'information,144200,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,3200,0,2.0,2008.0,63.0,Boîte manuelle,1390.0,6.0,1028.0,86.0,,Essence,6.5,
Bon prix,92000,Essence,Particuliers,5.0,5.0,SEAT,Ateca,13500,2,3.0,2017.0,85.0,Boîte manuelle,999.0,8.0,1280.0,116.0,,Essence,5.2,119.0
Très bon prix,39325,Essence,Professionnel,5.0,5.0,SEAT,Ateca,2399015,3,10.0,2022.0,110.0,Boîte automatique,1498.0,1.0,,150.0,Euro 6d,Essence,5.6,150.0
Bon prix,92000,Essence,Particuliers,5.0,5.0,SEAT,Ateca,13500,2,3.0,2017.0,85.0,Boîte manuelle,999.0,8.0,1280.0,116.0,,Essence,5.2,119.0
Pas d'information,109060,Essence,Professionnel,5.0,5.0,SEAT,Toledo,86995,0,3.0,2016.0,81.0,Boîte manuelle,1197.0,8.0,,110.0,,Essence,4.9,119.0
Bon prix,37850,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,149995,2,9.0,2021.0,70.0,Boîte manuelle,999.0,7.0,1144.0,95.0,Euro 6d,,4.5,104.0
Prix correct,21173,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,116995,1,4.0,2018.0,70.0,Boîte manuelle,999.0,7.0,,95.0,,Essence,4.7,106.0
Pas d'information,130000,Diesel,Particuliers,5.0,3.0,SEAT,Ibiza,5000,0,10.0,2012.0,55.0,Boîte manuelle,1199.0,5.0,1135.0,75.0,,Diesel,3.8,99.0
Bon prix,113000,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,6999,2,1.0,2015.0,77.0,Boîte manuelle,1197.0,7.0,1090.0,105.0,,Essence,5.1,119.0
Pas d'information,160000,Essence,Professionnel,5.0,4.0,SEAT,Toledo,15005,0,5.0,2004.0,77.0,Boîte manuelle,1595.0,7.0,1191.0,105.0,Euro 4,Essence,7.0,168.0
Bon prix,40000,Essence,Particuliers,5.0,5.0,SEAT,Ateca,179001,2,6.0,2020.0,85.0,Boîte manuelle,999.0,8.0,1313.0,116.0,Euro 6d,Essence,5.1,117.0
Prix correct,101000,Essence,Professionnel,5.0,5.0,SEAT,Arona,129005,1,1.0,2019.0,70.0,Boîte manuelle,999.0,7.0,1180.0,95.0,Euro 6d,Essence,4.9,103.0
Bon prix,120000,Essence,Professionnel,5.0,5.0,SEAT,Arona,109505,2,11.0,2017.0,85.0,Boîte manuelle,999.0,8.0,1187.0,116.0,Euro 6,Essence,4.9,113.0
Bon prix,45000,Essence,Professionnel,5.0,5.0,SEAT,Leon,119995,2,10.0,2016.0,81.0,Boîte manuelle,1197.0,8.0,1247.0,110.0,Euro 6b,Essence,4.9,114.0
Prix correct,89500,Diesel,Particuliers,5.0,5.0,SEAT,Ibiza,12900,1,2.0,2020.0,70.0,Boîte manuelle,1598.0,7.0,1256.0,95.0,,Diesel,3.7,
Prix correct,221000,Diesel,Professionnel,5.0,5.0,SEAT,Ateca,98005,1,8.0,2017.0,85.0,Boîte manuelle,1598.0,8.0,1375.0,116.0,Euro 6b,Diesel,4.5,
Pas d'information,1380000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,5500,0,6.0,2015.0,44.0,Boîte manuelle,1198.0,4.0,1049.0,60.0,,Essence,5.4,
Pas d'information,108000,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,119005,0,10.0,2018.0,55.0,Boîte manuelle,999.0,5.0,1049.0,75.0,Euro 6d,Essence,5.2,
Pas d'information,100000,Essence,Particuliers,5.0,5.0,SEAT,Altea,5950,0,11.0,2012.0,63.0,Boîte manuelle,1390.0,6.0,1335.0,86.0,Euro 5,Essence,6.5,152.0
Bon prix,314000,Diesel,Particuliers,5.0,3.0,SEAT,Ibiza,1500,2,2.0,1998.0,81.0,Boîte manuelle,1896.0,8.0,1060.0,110.0,,Diesel,4.8,
Bon prix,31800,Essence,Particuliers,5.0,5.0,SEAT,Arona,15600,2,6.0,2018.0,85.0,Boîte automatique,999.0,8.0,1210.0,116.0,Euro 6,Essence,6.0,
Prix correct,228000,Diesel,Particuliers,5.0,5.0,SEAT,Ibiza,2500,1,1.0,2012.0,55.0,Boîte manuelle,1199.0,5.0,1190.0,75.0,,Diesel,3.8,99.0
Prix correct,26565,Essence,Professionnel,5.0,5.0,SEAT,Leon,1749015,1,12.0,2022.0,66.0,Boîte manuelle,999.0,6.0,,90.0,Euro 6d,Essence,4.5,107.0
Bon prix,115000,Essence,Professionnel,5.0,5.0,SEAT,Ateca,129995,2,10.0,2018.0,85.0,Boîte manuelle,999.0,8.0,1313.0,116.0,Euro 6d,,5.1,122.0
Prix correct,134673,Essence,Professionnel,5.0,5.0,SEAT,Leon,109905,1,11.0,2016.0,92.0,Boîte manuelle,1395.0,9.0,1233.0,125.0,Euro 6b,Essence,5.2,124.0
Prix correct,179950,Diesel,Professionnel,5.0,5.0,SEAT,Arona,104505,1,12.0,2019.0,70.0,Boîte manuelle,1598.0,7.0,1297.0,95.0,Euro 6d,Diesel,4.3,113.0
Bon prix,148000,Essence,Professionnel,5.0,3.0,SEAT,Ibiza,52005,2,5.0,2014.0,51.0,Boîte manuelle,1198.0,5.0,1049.0,69.0,Euro 5,Essence,5.4,125.0
Très bon prix,244000,Essence,Particuliers,5.0,5.0,SEAT,Leon,3500,3,2.0,2001.0,133.0,Boîte manuelle,1781.0,1.0,1322.0,181.0,,Essence,8.4,
Prix correct,7500,Essence,Particuliers,5.0,5.0,SEAT,Arona,18000,1,7.0,2024.0,70.0,Boîte manuelle,999.0,7.0,1188.0,95.0,,Essence,,
Pas d'information,128000,Essence,Particuliers,5.0,5.0,SEAT,Altea XL,4200,0,5.0,2010.0,77.0,Boîte manuelle,1197.0,7.0,1390.0,105.0,,Essence,5.9,139.0
Très bon prix,62113,Essence,Professionnel,,5.0,SEAT,Ateca,189905,3,6.0,2021.0,81.0,Boîte manuelle,999.0,8.0,,110.0,Euro 6,Essence,,121.0
Prix correct,85000,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,6300,1,1.0,2014.0,51.0,Boîte manuelle,1198.0,5.0,1049.0,69.0,,Essence,5.4,
Bon prix,45190,Essence,Professionnel,5.0,5.0,SEAT,Ibiza,1350015,2,5.0,2022.0,59.0,Boîte manuelle,999.0,5.0,1111.0,80.0,Euro 6d,Essence,4.6,106.0
Pas d'information,153579,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,4700,0,2.0,2013.0,51.0,Boîte manuelle,1198.0,5.0,1049.0,69.0,,Essence,5.4,125.0
Prix correct,53488,Essence,Professionnel,5.0,5.0,SEAT,Leon,1690015,1,6.0,2020.0,85.0,Boîte manuelle,999.0,8.0,1197.0,116.0,Euro 6d,Essence,4.8,107.0
Bon prix,94000,Essence,Professionnel,4.0,5.0,SEAT,Mii,54505,2,5.0,2014.0,55.0,Boîte manuelle,999.0,5.0,3854.0,75.0,Euro 5,Essence,4.6,106.0
Prix correct,99999,Essence,Particuliers,5.0,5.0,SEAT,Leon,17499,1,9.0,2020.0,110.0,Boîte manuelle,1498.0,1.0,1332.0,150.0,,Essence,,
Pas d'information,39475,Diesel,Professionnel,5.0,5.0,SEAT,Arona,1649015,0,11.0,2019.0,85.0,Boîte manuelle,1598.0,8.0,1760.0,116.0,Euro 6,Diesel,,
Bon prix,75000,Diesel,Professionnel,5.0,5.0,SEAT,Ateca,1899015,2,9.0,2019.0,85.0,Boîte automatique,1598.0,8.0,1446.0,116.0,Euro 6d,Diesel,4.9,128.0
Très bon prix,113000,Essence,Particuliers,5.0,3.0,SEAT,Ibiza,6500,3,9.0,2017.0,55.0,Boîte manuelle,999.0,5.0,1049.0,75.0,,Essence,5.2,
Prix correct,111000,Essence,Particuliers,5.0,3.0,SEAT,Leon,13500,1,5.0,2016.0,132.0,Boîte manuelle,1395.0,1.0,1223.0,179.0,Euro 6,Essence,5.6,109.0
Bon prix,69000,Essence,Professionnel,5.0,5.0,SEAT,Tarraco,229905,2,5.0,2019.0,110.0,Boîte manuelle,1498.0,1.0,1576.0,150.0,Euro 6d,Essence,5.8,132.0
Prix correct,34227,Essence,Professionnel,5.0,5.0,SEAT,Arona,170005,1,6.0,2019.0,85.0,Boîte automatique,999.0,8.0,1210.0,116.0,Euro 6d,Essence,5.0,106.0
Pas d'information,264000,Diesel,Professionnel,5.0,5.0,SEAT,Leon,44905,0,2.0,2007.0,125.0,Boîte manuelle,1968.0,1.0,1422.0,170.0,Euro 4,Diesel,6.0,159.0
Pas d'information,233000,Diesel,Professionnel,5.0,5.0,SEAT,Ateca,42505,0,5.0,2017.0,85.0,Boîte manuelle,1598.0,8.0,1375.0,116.0,,Diesel,4.5,
Très bon prix,220623,Diesel,Particuliers,5.0,3.0,SEAT,Ibiza,1400,3,1.0,2004.0,66.0,Boîte manuelle,1896.0,6.0,1171.0,90.0,Euro 3,Diesel,5.0,
Bon prix,220000,Essence,Professionnel,5.0,5.0,SEAT,Leon,55005,2,6.0,2016.0,77.0,Boîte manuelle,1197.0,7.0,1254.0,105.0,Euro 6,,4.9,
Très bon prix,79300,Essence,Particuliers,5.0,5.0,SEAT,Leon,21000,3,10.0,2017.0,221.0,Boîte automatique,1984.0,2.0,1545.0,300.0,,Essence,7.2,
Bon prix,163000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,3800,2,4.0,2012.0,44.0,Boîte manuelle,1198.0,4.0,1110.0,60.0,Euro 5,Essence,5.5,
Pas d'information,90000,Essence,Particuliers,5.0,5.0,SEAT,Ibiza,10500,0,2.0,2018.0,55.0,Boîte manuelle,999.0,5.0,1091.0,75.0,Euro 6b,Essence,4.9,
Prix correct,147000,CNG,Professionnel,5.0,5.0,SEAT,Leon,79905,1,5.0,2018.0,81.0,Boîte manuelle,1197.0,8.0,1213.0,110.0,,,,
Prix correct,54910,Essence,Professionnel,5.0,5.0,SEAT,Arona,134905,1,3.0,2019.0,70.0,Boîte manuelle,999.0,7.0,1164.0,95.0,Euro 6d,,4.9,112.0
