Etat,Milieage,Carburant,CarVendeur,Portes,seats,CarNameV2,Modele,Price,etatCategory,Month,Year,Puissance,TransmissionV2,Cylindrée,Vitesses,Cylindres,HorsePower,ClasseEmission,Typedecarburant,Consommationdecarburant,ÉmissionsdeCO2
Bon prix,117579,Essence,Professionnel,5.0,5.0,Mercedes,GLC 250,225995,2,12.0,2015.0,155.0,Boîte automatique,1991.0,1.0,,211.0,,Essence,6.5,162.0
Prix correct,139300,Diesel,Professionnel,5.0,4.0,Mercedes,E 200,2229915,1,6.0,2017.0,110.0,Boîte automatique,1950.0,1.0,,150.0,Euro 6c,Diesel,3.9,112.0
Prix correct,81038,Diesel,Professionnel,5.0,5.0,Mercedes,C 200,234905,1,12.0,2019.0,118.0,Boîte automatique,1597.0,1.0,,160.0,Euro 6,Diesel,,140.0
Bon prix,59363,Essence,Professionnel,5.0,4.0,Mercedes,CLA 200,199905,2,6.0,2018.0,115.0,Boîte automatique,1595.0,1.0,,156.0,Euro 6,Essence,,175.0
Prix correct,129509,Essence,Professionnel,5.0,5.0,Mercedes,A 160,139705,1,3.0,2018.0,75.0,Boîte manuelle,1595.0,7.0,1370.0,102.0,Euro 6b,Essence,5.5,126.0
Bon prix,90152,Diesel,Professionnel,5.0,5.0,Mercedes,GLC 220,259905,2,10.0,2015.0,125.0,Boîte automatique,2143.0,1.0,,170.0,Euro 6,Diesel,,129.0
Bon prix,65000,Essence,Professionnel,5.0,5.0,Mercedes,GLC 200,409955,2,10.0,2021.0,145.0,Boîte automatique,1991.0,1.0,1800.0,197.0,Euro 6d,Essence,7.1,162.0
Pas d'information,237000,Essence,Professionnel,5.0,5.0,Mercedes,GLA 180,137505,0,11.0,2018.0,90.0,Boîte manuelle,1595.0,9.0,1395.0,122.0,Euro 6d,Essence,6.9,158.0
Pas d'information,132757,Essence,Professionnel,5.0,5.0,Mercedes,GLE 400,230005,0,12.0,2019.0,245.0,Boîte automatique,2996.0,2.0,2180.0,333.0,Euro 6b,Essence,,199.0
Pas d'information,71946,Essence,Professionnel,4.0,2.0,Mercedes,E 400,379955,0,4.0,2017.0,245.0,Boîte automatique,2996.0,2.0,1745.0,333.0,Euro 6b,Essence,8.1,183.0
Prix correct,55500,Essence,Professionnel,5.0,4.0,Mercedes,CLA 180,219005,1,6.0,2018.0,90.0,Boîte automatique,1595.0,9.0,1295.0,122.0,Euro 6b,,6.2,124.0
Bon prix,42816,Diesel,Professionnel,5.0,4.0,Mercedes,C 180,189505,2,8.0,2018.0,85.0,Boîte manuelle,1598.0,8.0,1490.0,116.0,Euro 6,Diesel,3.8,101.0
Bon prix,15900,Essence,Professionnel,4.0,2.0,Mercedes,E 200,499005,2,4.0,2023.0,145.0,Boîte automatique,1991.0,1.0,1750.0,197.0,Euro 6,Essence,,169.0
Très bon prix,82000,Essence,Professionnel,5.0,5.0,Mercedes,CLA 180,199955,3,7.0,2019.0,90.0,Boîte automatique,1595.0,9.0,,122.0,Euro 6,Essence,,138.0
Bon prix,94323,Diesel,Professionnel,5.0,5.0,Mercedes,B 180,197505,2,8.0,2019.0,85.0,Boîte automatique,1461.0,8.0,1485.0,116.0,Euro 6d,Diesel,3.9,102.0
Très bon prix,86213,Essence,Professionnel,5.0,5.0,Mercedes,GLC 43 AMG,350005,3,11.0,2018.0,270.0,Boîte automatique,2996.0,2.0,1865.0,367.0,Euro 6d,,9.7,220.0
Prix correct,6506,Essence,Professionnel,5.0,5.0,Mercedes,GLC 200,599505,1,9.0,2023.0,150.0,Boîte automatique,1999.0,1.0,1960.0,204.0,Euro 6e,Essence,7.4,169.0
Très bon prix,56000,Diesel,Professionnel,5.0,5.0,Mercedes,A 180,224905,3,10.0,2018.0,85.0,Boîte automatique,1461.0,8.0,1445.0,116.0,Euro 6d,Diesel,4.3,111.0
Prix correct,95500,Diesel,Professionnel,5.0,5.0,Mercedes,C 200,159905,1,3.0,2016.0,100.0,Boîte manuelle,1598.0,1.0,1545.0,136.0,Euro 6b,Diesel,4.4,111.0
Pas d'information,13582,Electrique/Essence,Professionnel,5.0,5.0,Mercedes,CLA 250,3499015,0,1.0,2024.0,160.0,Boîte automatique,1332.0,1.0,,218.0,Euro 6,Électrique,,
Bon prix,105914,Essence,Professionnel,5.0,4.0,Mercedes,CLA 180,167995,2,10.0,2018.0,90.0,Boîte manuelle,1595.0,9.0,,122.0,Euro 6d,Essence,5.4,160.0
Bon prix,127175,Essence,Professionnel,5.0,4.0,Mercedes,CLA 180,189505,2,12.0,2018.0,90.0,Boîte automatique,1595.0,9.0,1295.0,122.0,Euro 6d,,,
Bon prix,75650,Diesel,Professionnel,9.0,4.0,Mercedes,Vito,3999015,2,7.0,2022.0,100.0,Boîte automatique,1950.0,1.0,,136.0,Euro 6d,Diesel,,190.0
Bon prix,50000,Diesel,Professionnel,5.0,4.0,Mercedes,CLA 200,349505,2,6.0,2022.0,110.0,Boîte automatique,1950.0,1.0,1560.0,150.0,Euro 6d,Diesel,4.3,114.0
Très bon prix,48075,Electrique/Essence,Professionnel,5.0,5.0,Mercedes,GLC 200,438705,3,1.0,2022.0,145.0,Boîte automatique,1991.0,1.0,1800.0,197.0,Euro 6d,Électrique,7.1,162.0
Bon prix,116266,Diesel,Professionnel,5.0,5.0,Mercedes,GLC 220,244995,2,7.0,2016.0,120.0,Boîte automatique,2143.0,1.0,,163.0,,Diesel,5.0,129.0
Pas d'information,6191,Essence,Professionnel,5.0,4.0,Mercedes,C 180,468905,0,7.0,2024.0,,Boîte automatique,1496.0,1.0,,,,Essence,,152.0
Prix correct,119000,Diesel,Professionnel,5.0,4.0,Mercedes,C 180,229905,1,3.0,2021.0,90.0,Boîte automatique,1598.0,9.0,1555.0,122.0,,Diesel,4.6,
Prix correct,90147,Diesel,Professionnel,5.0,4.0,Mercedes,CLA 200,239005,1,6.0,2019.0,100.0,Boîte automatique,2143.0,1.0,,136.0,,Diesel,,162.0
Très bon prix,110628,Essence,Professionnel,5.0,5.0,Mercedes,CLA 180,169905,3,9.0,2019.0,90.0,Boîte automatique,1595.0,9.0,1330.0,122.0,Euro 6d,Essence,6.2,141.0
Bon prix,78572,Diesel,Professionnel,5.0,5.0,Mercedes,E 200,2799515,2,7.0,2020.0,118.0,Boîte automatique,1597.0,1.0,1880.0,160.0,Euro 6d,Diesel,4.4,117.0
Pas d'information,264434,Diesel,Professionnel,4.0,3.0,Mercedes,CLC,59005,0,12.0,2008.0,90.0,Boîte manuelle,2148.0,9.0,1505.0,122.0,Euro 4,Diesel,5.8,152.0
Bon prix,66175,Essence,Professionnel,5.0,4.0,Mercedes,C 160,198995,2,5.0,2021.0,95.0,Boîte manuelle,1595.0,9.0,,129.0,Euro 6d,Essence,5.2,153.0
Bon prix,100000,Essence,Professionnel,5.0,5.0,Mercedes,GLA 200,149505,2,4.0,2016.0,115.0,Boîte manuelle,1595.0,1.0,1395.0,156.0,Euro 6b,Essence,5.8,134.0
Très bon prix,71023,Electrique/Essence,Professionnel,5.0,5.0,Mercedes,A 250,2349515,3,5.0,2020.0,160.0,Boîte automatique,1332.0,1.0,1710.0,218.0,Euro 6d,Électrique,1.1,25.0
Bon prix,81000,Diesel,Professionnel,5.0,4.0,Mercedes,CLA 180,175005,2,8.0,2018.0,80.0,Boîte manuelle,1461.0,8.0,1450.0,109.0,Euro 6b,Diesel,3.7,98.0
Prix correct,105000,Diesel,Professionnel,4.0,2.0,Mercedes,C 220,269005,1,1.0,2017.0,120.0,Boîte automatique,2143.0,1.0,,163.0,Euro 6c,Diesel,,
Pas d'information,163750,Diesel,Professionnel,5.0,5.0,Mercedes,C 180,99505,0,1.0,2014.0,88.0,Boîte manuelle,2143.0,8.0,,120.0,Euro 5,Diesel,6.0,133.0
Prix correct,13000,Essence,Professionnel,5.0,5.0,Mercedes,A 45 AMG,529995,1,7.0,2022.0,285.0,Boîte automatique,1991.0,2.0,1620.0,387.0,Euro 6d,Essence,,205.0
Très bon prix,58973,Electrique/Diesel,Professionnel,5.0,5.0,Mercedes,GLC 300,4690015,3,11.0,2021.0,143.0,Boîte automatique,1950.0,1.0,2135.0,194.0,Euro 6d,Diesel,,50.0
Bon prix,64000,Essence,Professionnel,5.0,4.0,Mercedes,CLA 180,173905,2,8.0,2017.0,90.0,Boîte manuelle,1595.0,9.0,1395.0,122.0,Euro 6b,,5.4,128.0
Prix correct,88337,Essence,Professionnel,5.0,5.0,Mercedes,GLC 250,359005,1,1.0,2019.0,155.0,Boîte automatique,1991.0,1.0,1760.0,211.0,Euro 6,Essence,7.7,176.0
Bon prix,48621,Diesel,Professionnel,,4.0,Mercedes,C 200,3599015,2,6.0,2023.0,120.0,Boîte automatique,1993.0,1.0,,163.0,Euro 6,Diesel,,120.0
Pas d'information,49950,Essence,Professionnel,5.0,,Mercedes,C 63 AMG,499505,0,3.0,2019.0,350.0,,,3.0,,476.0,,Essence,,
Très bon prix,121802,Diesel,Professionnel,5.0,5.0,Mercedes,GLB 200,2679015,3,9.0,2021.0,110.0,Boîte automatique,1950.0,1.0,,150.0,Euro 6d,Diesel,,126.0
Prix correct,65178,Essence,Professionnel,5.0,5.0,Mercedes,B 200,159905,1,3.0,2015.0,115.0,Boîte automatique,1595.0,1.0,,156.0,Euro 6,Essence,,127.0
Pas d'information,112000,Essence,Professionnel,5.0,5.0,Mercedes,A 150,49905,0,6.0,2008.0,70.0,Boîte manuelle,1498.0,7.0,1275.0,95.0,Euro 4,Essence,6.6,157.0
Pas d'information,80928,Diesel,Professionnel,5.0,5.0,Mercedes,B 180,159905,0,10.0,2015.0,80.0,Boîte manuelle,1461.0,8.0,1395.0,109.0,Euro 6b,Diesel,3.6,98.0
Pas d'information,138408,Diesel,Professionnel,5.0,4.0,Mercedes,E 200,2399015,0,8.0,2017.0,110.0,Boîte automatique,1950.0,1.0,,150.0,Euro 6,Diesel,,102.0
Très bon prix,39000,Essence,Professionnel,5.0,5.0,Mercedes,A 180,2349915,3,7.0,2020.0,100.0,Boîte automatique,1332.0,1.0,1365.0,136.0,Euro 6d,Essence,5.3,120.0
Prix correct,81510,Diesel,Professionnel,5.0,5.0,Mercedes,A 180,198905,1,8.0,2018.0,80.0,Boîte manuelle,1461.0,8.0,,109.0,,Diesel,,98.0
Prix correct,88209,Diesel,Professionnel,5.0,5.0,Mercedes,A 180,179955,1,8.0,2018.0,80.0,Boîte automatique,1461.0,8.0,1425.0,109.0,Euro 6b,Diesel,3.9,101.0
Bon prix,56263,Electrique/Essence,Professionnel,5.0,5.0,Mercedes,A 250,2449015,2,4.0,2021.0,118.0,Boîte automatique,1332.0,1.0,,160.0,Euro 6,Essence,,23.0
Prix correct,193278,Diesel,Professionnel,5.0,5.0,Mercedes,B 180,98505,1,4.0,2016.0,80.0,Boîte manuelle,1461.0,8.0,1395.0,109.0,Euro 6b,Diesel,3.6,107.0
Pas d'information,52437,Essence,Professionnel,5.0,5.0,Mercedes,GLA 45 AMG,279505,0,12.0,2015.0,265.0,Boîte automatique,1991.0,2.0,,360.0,Euro 6,Essence,,175.0
Prix correct,44800,Essence,Professionnel,4.0,2.0,Mercedes,C 180,309905,1,1.0,2020.0,115.0,Boîte automatique,1595.0,1.0,1505.0,156.0,Euro 6d,,5.8,134.0
Prix correct,35000,Diesel,Professionnel,5.0,4.0,Mercedes,CLS 220,549005,1,11.0,2022.0,143.0,Boîte automatique,1950.0,1.0,1790.0,194.0,Euro 6d,Diesel,,
Très bon prix,155697,Diesel,Professionnel,5.0,4.0,Mercedes,S 400,460005,3,8.0,2017.0,250.0,Boîte automatique,2925.0,2.0,2075.0,340.0,Euro 6b,Diesel,6.0,158.0
Bon prix,69250,Diesel,Professionnel,5.0,5.0,Mercedes,C 200,235005,2,8.0,2019.0,118.0,Boîte manuelle,1597.0,1.0,,160.0,Euro 6d,Diesel,,108.0
Pas d'information,37120,Essence,Professionnel,7.0,5.0,Mercedes,GLB 180,419505,0,6.0,2023.0,100.0,Boîte automatique,1332.0,1.0,1640.0,136.0,Euro 6d,Essence,,163.0
Très bon prix,87000,Electrique/Diesel,Professionnel,5.0,5.0,Mercedes,GLE 350,5699015,3,1.0,2021.0,143.0,Boîte automatique,1950.0,1.0,2655.0,194.0,Euro 6d,Électrique,1.1,29.0
Très bon prix,102439,Diesel,Professionnel,,5.0,Mercedes,A 180,129955,3,1.0,2016.0,80.0,Boîte manuelle,1461.0,8.0,,109.0,Euro 6,Diesel,4.5,102.0
Pas d'information,27300,Essence,Professionnel,4.0,2.0,Mercedes,SL 43 AMG,9595015,0,1.0,2023.0,280.0,Boîte automatique,1991.0,2.0,1810.0,381.0,Euro 6d,,,
Bon prix,84000,Diesel,Professionnel,5.0,5.0,Mercedes,CLA 200,199505,2,10.0,2018.0,100.0,Boîte automatique,2143.0,1.0,1430.0,136.0,Euro 6d,Diesel,5.6,148.0
Bon prix,46860,Diesel,Professionnel,5.0,4.0,Mercedes,E 200,2629915,2,6.0,2018.0,110.0,Boîte automatique,1950.0,1.0,,150.0,Euro 6c,Diesel,3.9,102.0
Très bon prix,0,Electrique,Professionnel,5.0,5.0,Mercedes,EQA,4699015,3,1.0,2025.0,168.0,,,1.0,,228.0,,,,0.0
Prix correct,106197,Essence,Professionnel,5.0,4.0,Mercedes,C 160,188995,1,7.0,2017.0,95.0,Boîte automatique,1595.0,9.0,,129.0,,Essence,5.2,136.0
Bon prix,25000,Essence,Professionnel,5.0,5.0,Mercedes,C 200,419995,2,10.0,2021.0,150.0,Boîte automatique,1496.0,1.0,1710.0,204.0,Euro 6e,Essence,,159.0
Très bon prix,100000,Electrique/Diesel,Professionnel,5.0,5.0,Mercedes,C 300,2450015,3,7.0,2020.0,143.0,Boîte automatique,1950.0,1.0,1955.0,194.0,Euro 6d,Électrique,,
Bon prix,64650,Diesel,Professionnel,5.0,5.0,Mercedes,CLA 180,2550015,2,11.0,2020.0,85.0,Boîte automatique,1461.0,8.0,1400.0,116.0,Euro 6d,Diesel,4.5,103.0
Très bon prix,70039,Electrique,Professionnel,5.0,5.0,Mercedes,EQC 400,3589015,3,11.0,2019.0,300.0,Boîte automatique,,3.0,2495.0,408.0,Euro 6d,Électrique,,0.0
Pas d'information,9643,Electrique/Essence,Professionnel,5.0,5.0,Mercedes,CLA 250,3499015,0,2.0,2024.0,160.0,Boîte automatique,1332.0,1.0,,218.0,Euro 6,Électrique,,
Bon prix,80012,Diesel,Professionnel,5.0,4.0,Mercedes,E 200,259905,2,6.0,2018.0,110.0,Boîte automatique,1950.0,1.0,,150.0,,Diesel,,102.0
Prix correct,18126,Essence,Professionnel,5.0,5.0,Mercedes,GLA 180,3530015,1,11.0,2023.0,100.0,Boîte automatique,1332.0,1.0,1480.0,136.0,Euro 6d,Essence,,
Bon prix,80012,Diesel,Professionnel,5.0,4.0,Mercedes,E 200,259905,2,6.0,2018.0,110.0,Boîte automatique,1950.0,1.0,,150.0,,Diesel,,102.0
Pas d'information,650,Essence,Professionnel,2.0,2.0,Mercedes,AMG GT,4899505,0,7.0,2022.0,537.0,Boîte automatique,3982.0,5.0,1650.0,730.0,Euro 6d,Essence,,
Pas d'information,117000,Essence,Professionnel,5.0,5.0,Mercedes,A 200,185005,0,7.0,2016.0,115.0,Boîte automatique,1595.0,1.0,1395.0,156.0,Euro 6b,Essence,5.4,127.0
Pas d'information,257000,Diesel,Professionnel,5.0,5.0,Mercedes,CLA 180,145005,0,11.0,2019.0,85.0,Boîte manuelle,1461.0,8.0,1400.0,116.0,Euro 6d,Diesel,3.9,114.0
Très bon prix,92000,Essence,Professionnel,5.0,5.0,Mercedes,A 180,1989015,3,2.0,2019.0,100.0,Boîte automatique,1332.0,1.0,1365.0,136.0,Euro 6d,,5.3,122.0
Bon prix,36949,Essence,Professionnel,5.0,4.0,Mercedes,CLA 200,2999015,2,10.0,2022.0,120.0,Boîte automatique,1332.0,1.0,1435.0,163.0,Euro 6d,Essence,5.3,122.0
Pas d'information,38820,Essence,Professionnel,5.0,4.0,Mercedes,C 160,279955,0,11.0,2018.0,95.0,Boîte automatique,1595.0,9.0,1460.0,129.0,Euro 6d,Essence,6.2,141.0
Pas d'information,48118,Essence,Professionnel,5.0,4.0,Mercedes,CLA 180,2650015,0,11.0,2020.0,100.0,Boîte manuelle,1461.0,1.0,1400.0,136.0,Euro 6d,Essence,4.5,123.0
Pas d'information,6995,Essence,Professionnel,,2.0,Mercedes,CLE 200,579905,0,5.0,2024.0,150.0,Boîte automatique,1999.0,1.0,,204.0,Euro 6,Essence,,
Pas d'information,75000,Diesel,Professionnel,5.0,5.0,Mercedes,GLC 220,339005,0,8.0,2017.0,120.0,Boîte automatique,2143.0,1.0,1865.0,163.0,Euro 6d,Diesel,6.1,
Pas d'information,117282,Diesel,Professionnel,5.0,5.0,Mercedes,GLC 220,3499015,0,5.0,2019.0,125.0,Boîte automatique,2143.0,1.0,,170.0,Euro 6,Diesel,,192.0
Bon prix,13707,Electrique,Professionnel,5.0,5.0,Mercedes,EQA 250,3595015,2,11.0,2023.0,140.0,Boîte automatique,,1.0,,190.0,Euro 6,,,0.0
Prix correct,74000,Diesel,Professionnel,5.0,4.0,Mercedes,C 180,259995,1,10.0,2019.0,90.0,Boîte automatique,1597.0,9.0,1565.0,122.0,,Diesel,4.3,114.0
Pas d'information,61067,Essence,Professionnel,5.0,4.0,Mercedes,S 600,199505,0,3.0,2004.0,368.0,Boîte automatique,5513.0,3.0,2035.0,500.0,Euro 3,Essence,14.8,355.0
Prix correct,93702,Essence,Professionnel,5.0,5.0,Mercedes,GLA 180,1815015,1,3.0,2019.0,90.0,Boîte manuelle,1595.0,9.0,1435.0,122.0,Euro 6d,,7.1,158.0
